GeneID	RNA.seq_LADC55
NUP88	1032
RPAIN	560
C1QBP	692
DHX33	479
DERL2	787
MIS12	517
LOC728392	75
NLRP1	335
LOC105371507	1
WSCD1	99
LOC107985017	21
PIMREG	80
PITPNM3	308
KIAA0753	528
TXNDC17	1106
MED31	213
C17orf100	58
ALOX15P1	9
SLC13A5	5
XAF1	3117
FBXO39	13
TEKT1	128
ALOX12P2	4
ALOX12-AS1	15
ALOX12	63
RNASEK-C17orf49	976
RNASEK	742
C17orf49	238
MIR497HG	186
BCL6B	428
SLC16A13	165
SLC16A11	41
CLEC10A	215
ASGR2	12
LOC105371512	13
ASGR1	29
DLG4	203
ACADVL	3414
MIR324	5
DVL2	439
PHF23	540
GABARAP	4167
CTDNEP1	1152
ELP5	326
CLDN7	2130
SLC2A4	7
YBX2	3
EIF5A	3442
GPS2	617
NEURL4	375
ACAP1	427
KCTD11	138
TNK1	175
TMEM256-PLSCR3	223
PLSCR3	149
TMEM256	92
NLGN2	188
TMEM102	148
FGF11	259
CHRNB1	193
ZBTB4	2510
POLR2A	3575
TNFSF12-TNFSF13	1227
TNFSF12	530
TNFSF13	1219
SENP3	464
SENP3-EIF4A1	5307
EIF4A1	4857
SNORA48	7
SNORD10	19
SNORA67	34
CD68	9496
LOC100996842	781
MPDU1	1070
SOX15	21
FXR2	620
SHBG	6
SAT2	343
ATP1B2	27
TP53	321
WRAP53	124
EFNB3	28
DNAH2	1001
105371516	71
KDM6B	948
LOC107987244	60
TMEM88	17
NAA38	348
CYB5D1	435
CHD3	2193
RNF227	128
KCNAB3	24
TRAPPC1	1179
CNTROB	752
105371517	12
GUCY2D	299
ALOX15B	2144
ALOX12B	11
LOC107985075	10
ALOXE3	3
TRQ-CTG1-5	0
HES7	13
105376799	0
PER1	3311
MIR6883	14
VAMP2	1120
TMEM107	171
SNORD118	9
LOC105371520	3
BORCS6	198
AURKB	186
LINC00324	58
TRW-CCA1-1	8
TRD-GTC2-11	12
CTC1	541
TRT-AGT1-2	3
TRS-AGA2-6	7
TRI-AAT4-1	8
PFAS	477
SLC25A35	380
RANGRF	155
ARHGEF15	199
LOC100128288	47
KRBA2	136
RPL26	6633
RNF222	10
NDEL1	1107
MYH10	2316
LOC107987245	146
112268195	64
LOC102724262	42
LOC105371525	3
CCDC42	2
LOC105371529	10
SPDYE4	2
MFSD6L	108
PIK3R6	156
107985063	11
PIK3R5	555
PIK3R5-DT	67
NTN1	149
LOC101928266	3
105371532	24
105371531	0
STX8	396
CFAP52	82
USP43	384
LOC107985011	7
GLP2R	12
RCVRN	0
GAS7	490
MYH13	0
LOC107985004	0
MYHAS	2
MYH8	0
MYH4	0
MYH1	2
MYH2	1
MYH3	84
SCO1	1134
ADPRM	176
TMEM220	201
MAGOH2P	28
TMEM220-AS1	19
TMEM238L	0
SHISA6	30
DNAH9	83
LOC101928350	4
ZNF18	277
MAP2K4	1309
LINC00670	1
MYOCD	123
ARHGAP44-AS1	10
ARHGAP44	554
ELAC2	1456
HS3ST3A1	30
LOC107985014	25
LOC100506974	8
CDRT15P1	24
COX10-AS1	222
COX10	440
CDRT15	2
HS3ST3B1	154
MGC12916	25
PMP22	3372
TEKT3	27
TVP23C-CDRT4	214
CDRT4	135
TVP23C	238
CDRT1	19
TRIM16	418
ZNF286A	182
TBC1D26	0
TBC1D26-AS1	0
MEIS3P1	835
ADORA2B	606
ZSWIM7	459
TTC19	1921
NCOR1	3510
PIGL	475
CENPV	191
UBB	20743
TRPV2	682
SNHG29	3106
SNORD49B	266
SNORD49A	39
SNORD65	25
LRRC75A	881
LOC105371554	6
ZNF287	130
ZNF624	207
CCDC144A	11
USP32P1	18
FAM106C	0
105371553	0
LOC105371552	2
KRT16P2	452
LOC105371551	43
KRT17P1	0
TBC1D27P	1
TNFRSF13B	2
LOC284191	0
MPRIP	6755
PLD6	185
FLCN	969
COPS3	1940
NT5M	63
MED9	618
RASD1	1370
PEMT	280
RAI1	1909
SMCR5	2
SREBF1	2388
MIR6777	2
TOM1L2	1189
DRC3	112
LOC107984989	10
ATPAF2	506
GID4	308
DRG2	755
LOC105371566	67
MYO15A	81
ALKBH5	2187
LLGL1	690
FLII	6003
MIEF2	487
TOP3A	731
SMCR8	1348
SHMT1	1789
MIR6778	6
EVPLL	161
LINC02076	3
KRT17P5	1
KRT17P2	3
LOC105371570	0
KRT16P1	67
LOC105371569	35
LGALS9C	2
USP32P2	119
FAM106A	5
CCDC144B	49
ZNF286B	40
FOXO3B	103
TRIM16L	196
FBXW10	15
TVP23B	2080
LOC101929141	1
PRPSAP2	969
SLC5A10	132
FAM83G	444
GRAP	95
SNORD3B-1	2
SNORD3B-2	3
LOC102724624	10
SNORD3D	3
GRAPL	45
GRAPL-AS1	39
SNORD3A	21
SNORD3C	7
LOC388436	47
EPN2	6812
EPN2-IT1	15
EPN2-AS1	8
B9D1	4049
MIR1180	0
LOC105371573	42
MAPK7	2940
MFAP4	2071
RNF112	77
LOC105371574	9
SLC47A1	299
LOC105371578	13
ALDH3A2	14292
SLC47A2	21
ALDH3A1	49
ULK2	551
AKAP10	1230
SPECC1	757
CCDC144CP	5
USP32P3	49
FAM106B	1
NOS2P3	0
LGALS9B	21
KRT16P3	22
LOC100996294	5
LOC100287072	4
CCDC144NL	0
CCDC144NL-AS1	50
LOC339260	2
USP22	1884
DHRS7B	462
TMEM11	393
LOC107984969	8
NATD1	247
MAP2K3	713
KCNJ12	11
LINC02693	324
KCNJ18	0
UBBP4	19
WSB1	10615
KSR1	841
LGALS9	8841
NOS2	49
LYRM9	696
LINC01992	0
LOC105371709	79
NLK	910
LOC102724517	41
LOC105371710	4
PYY2	9
LOC105371712	1
PPY2P	1
LOC101926984	4
TMEM97	1070
IFT20	542
TNFAIP1	1646
POLDIP2	2164
TMEM199	816
VTN	28
SARM1	772
SLC46A1	817
SLC13A2	16
FOXN1	6
UNC119	399
PIGS	1639
ALDOC	993
SPAG5	895
SPAG5-AS1	454
RSKR	167
KIAA0100	4401
SDF2	1100
SUPT6H	3627
PROCA1	130
RAB34	1845
RPL23A	10567
SNORD42B	2
SNORD4A	11
SNORD42A	9
SNORD4B	10
TLCD1	592
NEK8	328
TRAF4	2072
FAM222B	784
ERAL1	1005
FLOT2	3696
DHRS13	273
PHF12	1745
LOC101927018	11
LOC105371716	4
SEZ6	10
PIPOX	79
MYO18A	2251
9220	275
CRYBA1	2
NUFIP2	5750
MIR4523	0
TAOK1	4145
ABHD15	526
TP53I13	856
GIT1	1380
ANKRD13B	70
CORO6	18
SSH2	1289
LOC107984990	2
EFCAB5	65
NSRP1	1109
SLC6A4	164
LOC105371720	0
BLMH	667
CPD	13104
GOSR1	1672
TBC1D29P	1
SMURF2P1-LRRC37BP1	707
SH3GL1P2	5
LOC105371723	0
SUZ12P1	311
CRLF3	635
ATAD5	293
TEFM	262
ADAP2	639
RNF135	769
DPRXP4	7
LOC107984974	307
LOC646030	22
LOC105371722	10
NF1	4093
LOC101927057	72
OMG	9
EVI2B	1676
EVI2A	1089
RAB11FIP4	899
LOC105371725	0
MIR4724	3
MIR193A	0
COPRS	263
UTP6	1567
SUZ12	1954
LRRC37B	260
SH3GL1P1	7
107985082	6
LOC105371730	105
RHOT1	1985
ARGFXP2	6
RHBDL3	169
C17orf75	756
MIR632	200
ZNF207	6675
PSMD11	3040
CDK5R1	71
MYO1D	6522
LOC105371734	5
LOC107985012	3
LOC102724715	7
TMEM98	573
102724731	1
SPACA3	0
ASIC2	3
LOC147004	1
CCL2	1611
CCL7	238
CCL11	20
CCL8	224
CCL13	681
TMEM132E	14
LOC105371742	0
CCT6B	164
ZNF830	408
LIG3	1209
RFFL	680
RAD51L3-RFFL	503
RAD51D	476
FNDC8	5
NLE1	381
UNC45B	8
LOC105371932	201
SLFN5	10431
SLFN11	3280
LOC105371933	48
SLFN12	272
SLFN13	2409
SLFN12L	65
107985032	1
SLFN14	12
LOC107985033	4
SNHG30	118
SNORD7	5
PEX12	200
AP2B1	11591
RASL10B	22
GAS2L2	43
MMP28	271
107985067	3
C17orf50	6
TAF15	2012
HEATR9	3
105371744	0
CCL5	472
LRRC37A8P	19
RDM1	8
CCL16	9
CCL14	189
CCL15-CCL14	191
CCL15	2
LOC107985068	1
CCL23	49
CCL18	1490
CCL3-AS1	21
CCL3	280
LOC101927369	4
CCL4	223
LOC107985055	2
107985056	0
TBC1D3B	14
CCL3L3	61
CCL4L2	137
TBC1D3I	50
LOC102724956	5
TBC1D3G	31
TBC1D3H	32
TBC1D3F	16
TBC1D3JP	0
LOC105371749	2
ZNHIT3	983
MYO19	1457
PIGW	582
GGNBP2	2679
DHRS11	256
LOC107985031	9
MRM1	264
LOC105371750	34
LOC105371751	4
LHX1-DT	4
LHX1	1
AATF	1620
LOC105371753	3
ACACA	2580
C17orf78	9
TADA2A	428
DUSP14	457
SYNRG	1926
DDX52	1155
MIR378J	4
LOC105371755	121
LOC105371756	44
HNF1B	495
LOC107985009	7
LOC105371754	2
YWHAEP7	29
TBC1D3K	53
TBC1D3L	164
TBC1D3D	76
TBC1D3C	65
LOC101929950	74
TBC1D3E	171
TBC1D3	52
NPEPPSP1	419
MRPL45	937
GPR179	4
SOCS7	300
ARHGAP23	487
LOC101929494	7
SRCIN1	388
LOC105371761	10
EPOP	272
105371764	46
LOC105371763	117
MIR4734	0
MLLT6	8717
LOC105371762	47
CISD3	2808
PCGF2	2696
LOC100287808	85
PSMB3	6714
PIP4K2B	5418
CWC25	1945
RPL23	31452
SNORA21B	61
SNORA21	32
LASP1	25305
LINC00672	125
LOC105371767	3
LRRC37A11P	17
RDM1P5	61
PLXDC1	495
LOC105371768	68
CACNB1	1139
RPL19	44812
STAC2	13
FBXL20	2757
MED1	6272
CDK12	6153
LOC105371770	24
PPP1R1B	422
STARD3	4000
TCAP	20
PNMT	20
PGAP3	4575
ERBB2	22064
MIR4728	16
MIEN1	1940
GRB7	2812
IKZF3	575
GSDMB	1401
ORMDL3	3183
LRRC3C	16
112268187	2
GSDMA	32
PSMD3	3153
CSF3	50
MED24	1464
MIR6884	3
SNORD124	4
THRA	815
NR1D1	369
MSL1	2118
CASC3	2187
RAPGEFL1	117
WIPF2	2574
CDC6	517
RARA	1264
LOC105371934	50
RARA-AS1	55
GJD3	388
TOP2A	4403
IGFBP4	7199
107985064	28
TNS4	117
LOC105371773	3
101059954	8
LOC107985090	5
CCR7	105
SMARCE1	5599
KRT222	11
KRT24	5
KRT27	13
KRT10	160
KRT10-AS1	333
LOC105371777	3
KRT12	4
KRT20	5
KRT23	53
LOC107985072	26
KRT39	71
KRT40	122
KRTAP3-1	16
KRTAP2-3	0
KRTAP4-1	0
KRT32	15
KRT36	5
KRT13	4
KRT15	522
MIR6510	46
KRT19	8815
KRT9	0
KRT14	8
KRT16	7
KRT17	163
KRT42P	1
EIF1	10898
GAST	0
HAP1	37
JUP	7086
P3H4	557
FKBP10	1539
NT5C3B	985
KLHL10	12
KLHL11	617
ACLY	5969
ODAD4	164
CNP	3441
DNAJC7	2629
NKIRAS2	1574
ZNF385C	110
C17orf113	105
DHX58	1170
KAT2A	1591
HSPB9	3
RAB5C	6481
RAB5C-AS1	10
KCNH4	11
GHDC	1230
STAT5B	1692
STAT5A	748
STAT3	13092
CAVIN1	3160
LOC102725238	146
ATP6V0A1	2211
MIR5010	80
NAGLU	1730
HSD17B1-AS1	355
HSD17B1	291
COASY	2216
MLX	2760
PSMC3IP	383
RETREG3	2076
TUBG1	1099
TUBG2	489
PLEKHH3	638
CCR10	5
CNTNAP1	326
EZH1	794
RAMP2-AS1	77
RAMP2	283
VPS25	1251
WNK4	14
COA3	938
CNTD1	602
BECN1	2007
107985007	4
PSME3	2689
AOC2	25
AOC3	1563
AOC4P	20
LINC00671	1
PTGES3L-AARSD1	231
AARSD1	226
PTGES3L	12
RUNDC1	626
RPL27	4720
IFI35	1428
VAT1	3385
RND2	41
BRCA1	588
NBR2	167
LOC101929767	57
NBR1	5454
TMEM106A	462
CCDC200	35
LOC105371785	18
LINC00910	121
ARL4D	108
DHX8	1777
ETV4	645
MEOX1	15
LINC02594	0
SOST	0
DUSP3	2752
MPP3	178
CD300LG	9
LOC107985077	0
MPP2	69
FAM215A	0
LOC102724183	2
PYY	0
NAGS	228
TMEM101	826
LSM12	1088
G6PC3	1178
HDAC5	1082
HROB	114
ASB16	84
ASB16-AS1	145
TMUB2	1085
ATXN7L3	1377
ATXN7L3-AS1	66
UBTF	2482
SLC4A1	0
RUNDC3A-AS1	59
RUNDC3A	22
SLC25A39	2148
GRN	16987
FAM171A2	32
ITGA2B	17
GPATCH8	1571
FZD2	85
MEIOC	15
CCDC43	797
LOC105371792	96
DBF4B	202
LOC107985044	11
ADAM11	14
GJC1	188
HIGD1B	83
EFTUD2	2354
CCDC103	179
GFAP	81
FAM187A	19
KIF18B	179
C1QL1	0
DCAKD	519
NMT1	2347
PLCD3	113
MIR6784	1
ACBD4	293
HEXIM1	874
HEXIM2	109
LOC112268203	13
LOC105371795	62
FMNL1-DT	16
FMNL1	1088
LOC107985040	166
MAP3K14-AS1	153
SPATA32	55
MAP3K14	289
LOC105371796	2
ARHGAP27	1094
PLEKHM1	1025
MIR4315-1	40
LOC105369225	37
LRRC37A4P	891
LOC105376839	2
MAPK8IP1P2	10
LINC02210	149
LINC02210-CRHR1	27
CRHR1	1
MAPT	25
KANSL1	1325
LOC107985027	0
KANSL1-AS1	32
ARL17B	106
LRRC37A	164
107987254	27
NSFP1	337
ARL17A	320
LRRC37A2	333
FAM215B	20
NSF	3276
WNT3	182
WNT9B	17
GOSR2	1966
RPRML	0
LOC101927060	173
CDC27	1919
MYL4	8
ITGB3	390
LOC107985029	1
EFCAB13-DT	7
EFCAB13	139
MRPL45P2	83
NPEPPS	4688
KPNB1-DT	1165
KPNB1	10774
TBKBP1	308
TBX21	24
OSBPL7	404
MRPL10	1026
LRRC46	135
SCRN2	733
SP6	60
SP2-DT	13
SP2	832
SP2-AS1	66
PNPO	1300
PRR15L	4673
CDK5RAP3	4303
COPZ2	193
NFE2L1	6850
CBX1	2198
SNX11	743
SKAP1	314
LOC101927166	4
LOC105371808	4
HOXB1	0
HOXB2	137
HOXB-AS1	162
HOXB3	811
HOXB4	49
HOXB-AS3	117
HOXB5	103
HOXB6	220
HOXB7	377
HOXB8	4
HOXB9	50
LOC101060400	2
LINC02086	1
PRAC2	0
HOXB13	0
TTLL6	20
CALCOCO2	3406
LOC105371814	29
ATP5MC1	653
UBE2Z	2975
SNF8	1269
GIP	0
IGF2BP1	2
B4GALNT2	4
GNGT2	80
ABI3	531
PHOSPHO1	14
105371816	8
ZNF652	1990
LOC102724596	4
PHB	3644
NGFR	27
NGFR-AS1	5
NXPH3	63
SPOP	2407
LOC107984999	2
SLC35B1	1855
FAM117A	429
KAT7	1774
TAC4	23
FLJ45513	73
DLX4	51
DLX3	206
PICART1	42
ITGA3	6710
PDK2	643
SAMD14	252
PPP1R9B	2164
LOC105371818	11
SGCA	95
H1-9P	1
COL1A1	32452
LINC01969	16
105371819	3
LOC105371822	47
TMEM92	328
TMEM92-AS1	24
XYLT2	1381
MRPL27	588
EME1	410
LRRC59	5392
ACSF2	1108
CHAD	98
RSAD1	962
MYCBPAP	54
EPN3	195
LOC105371824	32
SPATA20	2551
CACNA1G-AS1	11
CACNA1G	16
ABCC3	8797
ANKRD40	2109
LUC7L3	5611
WFIKKN2	3
TOB1	1557
TOB1-AS1	13
LOC105371825	0
SPAG9	5269
NME1-NME2	4434
NME1	961
NME2	3539
MBTD1	1034
UTP18	1499
LINC02073	5
CA10	56
LINC01982	0
TOM1L1	2322
COX11	2619
STXBP4	672
LOC107985002	10
HLF	667
MMD	1185
LOC102724732	5
LOC101927389	1
TMEM100	503
PCTP	1338
ANKFN1	242
NOG	28
C17orf67	40
DGKE	197
MTVR2	1
TRIM25	656
MIR3614	14
COIL	693
SCPEP1	3293
RNF126P1	30
AKAP1	1927
LOC101927510	2
MSI2	1738
LOC107984993	4
MRPS23	864
CUEDC1	893
LOC107985065	0
VEZF1	2107
LOC101929185	397
SRSF1	6809
LOC105371840	9
DYNLL2	3170
MSX2P1	0
EPX	2
MKS1	307
LOC105371841	20
LPO	21
MPO	8
TSPOAP1	521
TSPOAP1-AS1	576
MIR142	0
SUPT4H1	1255
RNF43	1164
HSF5	3
MTMR4	1554
SEPTIN4-AS1	47
SEPTIN4	215
TEX14	31
RAD51C	502
PPM1E	66
TRIM37	798
SKA2	1129
PRR11	338
SMG8	649
GDPD1	225
YPEL2	671
DHX40	2651
CLTC	20003
PTRH2	380
VMP1	12831
MIR21	3
TUBD1	223
RPS6KB1	1441
RNFT1	648
TBC1D3P1-DHX40P1	163
RNFT1-DT	32
HEATR6	622
MIR4737	7
HEATR6-DT	25
WFDC21P	33
LOC653653	34
LOC100996660	57
CA4	548
USP32	2834
C17orf64	9
APPBP2	2223
PPM1D	594
BCAS3	540
LOC107984992	9
LOC101927855	0
TBX2-AS1	33
TBX2	360
LINC02875	8
TBX4	260
BRIP1	495
INTS2	988
MED13	5616
METTL2A	598
112268201	0
TLK2	1666
112268202	4
LOC107985020	16
MRC2	1884
MARCHF10	68
LOC105371855	7
TANC2	4811
105371857	6
LOC105371856	38
107983996	31
CYB561	4824
ACE	1917
KCNH6	1
DCAF7	5169
TACO1	457
MAP3K3	1006
107984984	6
LOC101927898	5
LIMD2	535
LOC729683	22
STRADA	960
CCDC47	9943
DDX42	7073
FTSJ3	2235
PSMC5	2723
107984986	42
SMARCD2	2570
TCAM1P	10
107987248	2
CD79B	55
SCN4A	8
PRR29-AS1	28
PRR29	470
ICAM2	513
ERN1	1242
SNHG25	8
SNORD104	5
SNORA50C	20
TEX2	1974
PECAM1	7957
MILR1	456
POLG2	259
DDX5	29094
MIR3064	1198
MIR5047	2283
CEP95	1050
SMURF2	3569
ARHGAP27P1-BPTFP1-KPNA2P3	836
LOC101929240	271
ARHGAP27P1	466
MIR6080	16
PLEKHM1P1	492
MIR4315-2	36
LOC105376844	6
LRRC37A3	204
LOC107985000	46
AMZ2P1	248
GNA13	4505
LOC105371864	0
LOC100507002	14
RGS9	25
AXIN2	645
CEP112	990
APOH	915
PRKCA	1921
CACNG5	0
CACNG4	302
CACNG1	2
HELZ	3512
HELZ-AS1	10
PSMD12	3276
PITPNC1	490
MIR548AA2	1
MIR548D2	1
LOC101928045	106
NOL11	2585
SNORA38B	4
BPTF	4513
C17orf58	552
KPNA2	3066
LINC00674	5134
105371871	12
LOC105371870	39
ARHGAP27P2	7
AMZ2	2302
ARSG	667
SLC16A6	188
PRKAR1A	10992
WIPI1	826
MIR635	14
FAM20A	7824
105371873	13
LOC105371874	19
ABCA8	436
ABCA9	123
ABCA9-AS1	4
ABCA6	288
ABCA10	104
ABCA5	1060
MAP2K6	191
LOC105371880	3
LINC01028	0
KCNJ16	30
KCNJ2-AS1	29
KCNJ2	281
LINC01152	1
LOC102723517	0
SOX9-AS1	2
LINC02097	0
SOX9	84
LINC02003	0
LINC00673	626
LINC00511	92
LOC105371887	592
SLC39A11	2230
SSTR2	14
COG1	1427
FAM104A	1218
C17orf80	914
CPSF4L	85
CDC42EP4	2355
SDK2	86
LOC100134391	2
LINC00469	6
RPL38	1883
MGC16275	72
TTYH2	395
DNAI2	39
LOC105371891	4
KIF19	30
LOC107985078	0
BTBD17	1
GPR142	2
GPRC5C	1419
CD300A	674
CD300LB	32
LOC107985074	14
CD300C	118
CD300H	6
LOC101928343	0
CD300E	129
LOC105371894	73
RAB37	438
CD300LF	316
SLC9A3R1-AS1	103
MIR3615	42
SLC9A3R1	904
NAT9	1228
TMEM104	841
GRIN2C	12
FDXR	358
FADS6	5
USH1G	15
HID1	1345
HID1-AS1	5
CDR2L	408
MRPL58	735
KCTD2	947
ATP5PD	3128
SLC16A5	786
ARMC7	439
NT5C	288
LOC107985034	881
JPT1	1689
SUMO2	7100
NUP85	1135
GGA3	1612
MRPS7	1561
MIF4GD	824
MIF4GD-DT	170
SLC25A19	369
GRB2	5704
TMEM94	1646
MIR6785	8
CASKIN2	812
TSEN54	847
107985023	205
LLGL2	2696
MYO15B	616
RECQL5	964
SMIM5	161
SMIM6	120
LOC107985013	70
SAP30BP	1729
ITGB4	1139
GALK1	856
H3-3B	23035
UNK	1045
UNC13D	830
WBP2	3771
TRIM47	834
TRIM65	770
MRPL38	1136
FBF1	661
ACOX1	2040
TEN1-CDK3	226
TEN1	168
CDK3	62
EVPL	2944
SRP68	3594
GALR2	14
ZACN	725
EXOC7	4273
LOC101928447	9
FOXJ1	395
RNF157-AS1	128
RNF157	251
107985019	2
UBALD2	1150
QRICH2	84
PRPSAP1	1059
SPHK1	203
UBE2O	1516
AANAT	7
RHBDF2	1124
CYGB	262
PRCD	70
SNHG16	2216
SNORD1C	7
SNORD1B	2
SNORD1A	2
ST6GALNAC2	259
ST6GALNAC1	2574
LOC105274304	24
MXRA7	2730
JMJD6	883
METTL23	1057
SRSF2	5081
MIR636	110
MFSD11	1539
LINC02080	2
MGAT5B	29
LOC105371899	0
SNHG20	134
SEC14L1	2378
SCARNA16	4
MIR6516	4
105371900	4
LOC105371901	1
LACAT1	95
SEPTIN9-DT	7
SEPTIN9	10269
LOC112268199	3
LOC105371903	4
LOC400622	0
LOC100507351	2
LOC107985079	1
TNRC6C	537
107985010	4
100131096	165
TMC6	2741
TMC8	598
C17orf99	1
SYNGR2	7087
TK1	951
107985050	173
AFMID	601
BIRC5	570
LOC105371910	0
LINC01993	8
LOC105371912	74
SOCS3	1524
SOCS3-DT	49
PGS1	1235
DNAH17	221
107985047	0
DNAH17-AS1	11
SCAT1	28
112268196	731
CYTH1	2391
USP36	1544
TIMP2	7653
CEP295NL	4
LGALS3BP	52796
CANT1	3678
C1QTNF1-AS1	1
C1QTNF1	343
ENGASE	975
RBFOX3	7
ENPP7	0
CBX2	73
CBX8	299
102723961	59
LINC01977	25
CBX4	1222
LINC01979	0
LINC01978	0
TBC1D16	603
CCDC40	198
GAA	6372
EIF4A3	1711
CARD14	142
SGSH	1109
SLC26A11	462
RNF213	18365
RNF213-AS1	459
ENDOV	679
MIR4730	7
NPTX1	222
RPTOR	1120
LOC105371922	2
107985021	3
LOC101928855	2
LOC400627	14
CHMP6	1001
100129503	7
BAIAP2-DT	1252
BAIAP2	1392
107987250	210
AATK	103
MIR657	0
CEP131	526
TEPSIN	376
LOC105371925	146
NDUFAF8	52
SLC38A10	5795
LINC00482	80
LOC112268186	1
LOC100130370	18
BAHCC1	749
MIR4740	4
MIR3186	0
LOC105371926	1
112268189	61
ACTG1	42572
FSCN2	109
FAAP100	1317
NPLOC4	4726
TSPAN10	147
PDE6G	13
OXLD1	729
CCDC137	878
ARL16	559
HGS	3103
MRPL12	1235
SLC25A10	899
LOC105371929	5
GCGR	1
MCRIP1	1339
PPP1R27	0
P4HB	31554
ARHGDIA	6956
ALYREF	1066
ANAPC11	1378
PCYT2	1127
NPB	2
SIRT7	719
MAFG	579
MAFG-DT	89
PYCR1	4155
MYADML2	4
NOTUM	46
LOC105371939	5
ASPSCR1	806
CENPX	1184
LRRC45	861
RAC3	106
DCXR	1210
DCXR-DT	3
RFNG	671
GPS1	2964
DUS1L	2805
FASN	7520
SNORD134	3
CCDC57	1176
SLC16A3	4183
MIR6787	4
CSNK1D	7143
LINC01970	8
107985059	0
CD7	175
SECTM1	1171
TEX19	1
UTS2R	0
OGFOD3	718
HEXD	692
CYBC1	2214
NARF-AS2	71
NARF	1476
FOXK2	1810
LOC105371942	144
WDR45B	4071
RAB40B	280
LOC101929552	1
FN3KRP	1358
FN3K	503
TBCD	3812
ZNF750	327
B3GNTL1	361
METRNL	609
107987251	12
LOC101930496	0
LOC105371948	7
LOC100505909	2
RPL23AP87	16
MGC70870	152
LOC105379280	50
TUBB8B	6
ROCK1P1	76
MIR8078	1
USP14	3104
THOC1	946
COLEC12	1903
LOC107985155	0
LINC01925	0
CLUL1	46
LOC105371952	5
TYMSOS	56
TYMS	559
ENOSF1	2472
YES1	2470
ADCYAP1	10
LOC105371953	0
LINC00470	5
LOC105371954	5
LOC105371960	0
LOC105371959	1
LOC105371956	14
LOC105371961	0
METTL4	362
NDC80	281
CBX3P2	18
SMCHD1	2967
EMILIN2	1461
LPIN2	3050
CHORDC1P4	10
MYOM1	60
LOC101927044	5
MYL12A	5610
MYL12-AS1	4498
MYL12B	7579
TGIF1	1200
GAPLINC	38
DLGAP1	469
DLGAP1-AS1	105
DLGAP1-AS2	16
LOC105371967	0
107985137	4
DLGAP1-AS3	0
DLGAP1-AS5	6
LINC00526	76
LINC00667	853
ZBTB14	613
EPB41L3	1203
LOC107985145	2
LOC100286986	4
TMEM200C	6
L3MBTL4	274
L3MBTL4-AS1	14
ARHGAP28-AS1	0
ARHGAP28	224
LINC00668	0
LAMA1	34
LOC101927188	4
LOC105371976	1
PTPRM	1415
LOC100192426	0
RAB12	1068
MTCL1	78
NDUFV2	1664
NDUFV2-AS1	29
ANKRD12	2023
107985188	6
TWSG1-DT	6
TWSG1	1829
RALBP1	2315
PPP4R1	4243
PPP4R1-AS1	6
RAB31	5390
LOC105371981	2
TXNDC2	0
VAPA	4030
APCDD1	365
NAPG	1148
LINC01887	0
PIEZO2	239
GNAL	221
CHMP1B	2109
MPPE1	713
LOC101927511	3
IMPA2	729
ANKRD62	0
C18orf61	1
CIDEA	0
TUBB6	1248
AFG3L2	1081
LOC107985154	110
PRELID3A	59
LOC105371998	106
SPIRE1	1169
PSMG2	1221
CEP76	151
LINC01882	2
PTPN2	1302
SEH1L	1087
CEP192	1067
LDLRAD4	527
LDLRAD4-AS1	5
107985120	13
102724615	4
FAM210A	347
RNMT	1399
MC5R	5
ZNF519	90
ANKRD20A5P	12
CYP4F35P	8
LOC105372003	5
CXADRP3	0
ANKRD30B	0
LINC01443	0
LINC01444	0
ROCK1	3938
GREB1L	89
LOC101927521	3
ESCO1	896
SNRPD1	869
ABHD3	762
105376866	2
MIB1	1948
MIR133A1HG	3
GATA6-AS1	11
GATA6	134
LOC105372019	1
LOC101927571	8
RBBP8	1850
MIR4741	25
CABLES1	420
TMEM241	394
RIOK3	1981
RMC1	624
NPC1	2177
ANKRD29	333
LAMA3	620
LOC107985181	3
LOC105372023	2
TTC39C	172
TTC39C-AS1	5
112268213	7
CABYR	58
OSBPL1A	1194
IMPACT	1378
HRH4	7
LINC01915	6
LINC01894	0
ZNF521	236
107987256	2
SS18	2255
TAF4B	100
KCTD1	186
LOC102725227	1
PCAT18	4
AQP4	3076
AQP4-AS1	6
CHST9	158
LOC105372036	0
107985143	7
LINC01908	2
LOC105372041	0
CDH2	33
DSC3	23
DSC2	1686
DSC1	2
DSG1	1
DSG3	0
DSG2	4263
DSG2-AS1	243
TTR	0
B4GALT6	73
TRAPPC8	1503
RNF125	372
RNF138	903
MEP1B	0
GAREM1	554
KLHL14	4
LOC112268208	0
LOC105372055	1
CCDC178	4
LOC105372059	3
ASXL3	14
NOL4	5
DTNA	846
LOC105372061	49
MAPRE2	2221
ZNF397	1132
ZSCAN30	215
ZNF271P	611
107985139	210
ZNF24	3081
ZNF396	110
LOC105372063	0
INO80C	229
GALNT1	3992
LOC105372064	200
C18orf21	263
RPRD1A	1542
SLC39A6	1826
ELP2	1290
COSMOC	21
MOCOS	488
FHOD3	93
TPGS2	1498
KIAA1328	303
CELF4	57
LOC105372076	3
MIR924HG	21
LOC101927857	3
LINC01902	0
LINC01901	0
KC6	1
PIK3C3	893
LINC00907	1
SYT4	8
SETBP1-DT	19
SETBP1	293
SLC14A2	5
SLC14A2-AS1	9
107985153	1
LOC105372093	1
LOC105372092	8
SLC14A1	36
EPG5	1294
SIGLEC15	26
PSTPIP2	308
ATP5F1A	6172
TRK-CTT6-1	5
HAUS1	342
