0	Chromosome	Start	End	Strand	Feature	Gene name
ENSMUSG00000039911	4	149270391	149329152	-	protein_coding	Spsb1
ENSMUSG00000019139	8	73118379	73121187	+	protein_coding	Isyna1
ENSMUSG00000031995	9	30896986	30939438	-	protein_coding	St14
ENSMUSG00000032577	9	107157257	107192208	-	protein_coding	Mapkapk3
ENSMUSG00000025872	13	54560197	54570210	-	protein_coding	Thoc3
ENSMUSG00000083745	2	37527727	37528523	+	pseudogene	Gm13543
ENSMUSG00000053137	15	88972915	88980036	-	protein_coding	Mapk11
ENSMUSG00000026857	2	30663345	30678553	+	protein_coding	Mettl11a
ENSMUSG00000053472	2	57960447	57962961	+	pseudogene	Gm13534
ENSMUSG00000020869	11	94491080	94506530	+	protein_coding	Lrrc59
ENSMUSG00000033386	3	116581144	116606668	+	protein_coding	Frrs1
ENSMUSG00000051998	1	135575605	135586685	-	protein_coding	Lax1
ENSMUSG00000001986	X	38754030	39031778	+	protein_coding	Gria3
ENSMUSG00000026213	1	75518103	75533910	+	protein_coding	Stk11ip
ENSMUSG00000094439	NA	NA	NA	NA	NA	NA
ENSMUSG00000024647	18	86880501	86887675	+	protein_coding	Cbln2
ENSMUSG00000042510	1	132628552	132641198	+	protein_coding	AA986860
ENSMUSG00000034826	5	92844565	92864245	-	protein_coding	Nup54
ENSMUSG00000054612	7	144086293	144319870	+	protein_coding	Mgmt
ENSMUSG00000027357	2	132672401	132692521	+	protein_coding	Crls1
ENSMUSG00000003279	17	70318412	71170753	+	protein_coding	Dlgap1
ENSMUSG00000045326	3	108656595	108692926	-	protein_coding	Fndc7
ENSMUSG00000039168	15	31154139	31204093	+	protein_coding	Dap
ENSMUSG00000002346	8	72708238	72736204	-	protein_coding	Slc25a42
ENSMUSG00000071037	17	85489945	85857479	+	protein_coding	1700106N22Rik
ENSMUSG00000011831	5	108173813	108304126	-	protein_coding	Evi5
ENSMUSG00000051537	X	20937990	20941748	+	processed_transcript	Gm5124
ENSMUSG00000005950	11	72973922	72986187	+	protein_coding	P2rx5
ENSMUSG00000001440	11	97021027	97049195	-	protein_coding	Kpnb1
ENSMUSG00000026688	1	169302096	169323972	-	protein_coding	Mgst3
ENSMUSG00000002767	17	46783177	46787088	+	protein_coding	Mrpl2
ENSMUSG00000028673	4	135476649	135496226	+	protein_coding	Fuca1
ENSMUSG00000055447	16	49855730	49915123	+	protein_coding	Cd47
ENSMUSG00000079018	15	74875446	74879260	-	protein_coding	Ly6c1
ENSMUSG00000022175	14	55083000	55090334	+	protein_coding	Lrp10
ENSMUSG00000006728	10	126500589	126504976	+	protein_coding	Cdk4
ENSMUSG00000059195	4	103235928	103237833	+	pseudogene	Gm12715
ENSMUSG00000030068	6	99207477	99616791	-	protein_coding	Eif4e3
ENSMUSG00000016087	9	32229792	32348974	-	protein_coding	Fli1
ENSMUSG00000059864	11	49093651	49094587	+	protein_coding	Olfr1393
ENSMUSG00000015947	3	96086831	96098179	-	protein_coding	Fcgr1
ENSMUSG00000021636	13	101365911	101386926	-	protein_coding	Marveld2
ENSMUSG00000027589	2	181572558	181592166	+	protein_coding	Pcmtd2
ENSMUSG00000023951	17	46153941	46169326	-	protein_coding	Vegfa
ENSMUSG00000042590	13	107584518	107726995	-	protein_coding	Ipo11
ENSMUSG00000030031	6	95067233	95079712	+	protein_coding	Kbtbd8
ENSMUSG00000039725	2	165315609	165318824	-	protein_coding	2810408M09Rik
ENSMUSG00000046722	3	95032653	95040331	+	protein_coding	Cdc42se1
ENSMUSG00000031613	8	58773348	58799843	+	protein_coding	Hpgd
ENSMUSG00000026029	1	58852217	58904347	+	protein_coding	Casp8
ENSMUSG00000032053	9	51021794	51048184	+	protein_coding	Pou2af1
ENSMUSG00000028426	4	55362914	55405109	+	protein_coding	Rad23b
ENSMUSG00000035236	2	38921733	39046254	-	protein_coding	Scai
ENSMUSG00000027577	2	180753084	180778251	-	protein_coding	Chrna4
ENSMUSG00000005131	9	53213390	53240908	+	protein_coding	4930550C14Rik
ENSMUSG00000029388	5	125020221	125029140	-	protein_coding	Eif2b1
ENSMUSG00000024067	17	74698813	74723284	-	protein_coding	Dpy30
ENSMUSG00000029713	5	137969354	137974738	-	protein_coding	Gnb2
ENSMUSG00000052102	18	38487211	38498657	-	protein_coding	Gnpda1
ENSMUSG00000038286	13	34129501	34165943	+	protein_coding	Bphl
ENSMUSG00000040054	10	127496045	127566359	+	protein_coding	Baz2a
ENSMUSG00000036273	15	91503605	91646551	+	protein_coding	Lrrk2
ENSMUSG00000015962	1	179659944	179683455	+	protein_coding	1700016C15Rik
ENSMUSG00000007872	4	135699411	135701670	+	protein_coding	Id3
ENSMUSG00000057969	9	107500004	107511560	-	protein_coding	Sema3b
ENSMUSG00000092261	9	21338070	21338429	-	pseudogene	RP23-411N10.3
ENSMUSG00000056752	11	65644783	65982053	-	protein_coding	Dnahc9
ENSMUSG00000001995	8	127941962	128016610	-	protein_coding	Sipa1l2
ENSMUSG00000036894	3	61168428	61172625	+	protein_coding	Rap2b
ENSMUSG00000025743	4	130348451	130382234	+	protein_coding	Sdc3
ENSMUSG00000021643	13	100877951	100884526	+	protein_coding	Serf1
ENSMUSG00000024381	18	32536870	32595390	+	protein_coding	Bin1
ENSMUSG00000073906	7	112516743	112517869	+	protein_coding	Olfr692
ENSMUSG00000028455	4	43040561	43044582	-	protein_coding	Stoml2
ENSMUSG00000028385	4	59818711	59917609	+	protein_coding	Snx30
ENSMUSG00000051223	1	58449979	58463392	+	protein_coding	Bzw1
ENSMUSG00000048949	X	100358232	100360766	-	pseudogene	Gm6206
ENSMUSG00000082321	2	156172937	156173576	-	pseudogene	Gm14253
ENSMUSG00000019088	X	71518555	71527676	-	protein_coding	Dnase1l1
ENSMUSG00000026356	1	130260284	130313993	-	protein_coding	Dars
ENSMUSG00000005580	16	4287528	4420498	-	protein_coding	Adcy9
ENSMUSG00000041046	11	6558523	6577478	+	protein_coding	Ramp3
ENSMUSG00000079445	1	88199795	88203878	+	protein_coding	B3gnt7
ENSMUSG00000022752	16	57121826	57156818	+	protein_coding	Tomm70a
ENSMUSG00000021850	14	49846032	49865103	-	protein_coding	1700011H14Rik
ENSMUSG00000028076	3	86799755	86803363	-	protein_coding	Cd1d1
ENSMUSG00000062054	12	21322252	21329466	+	protein_coding	Iah1
ENSMUSG00000068466	19	29234607	29235255	+	pseudogene	Gm5518
ENSMUSG00000028661	4	136485333	136512731	-	protein_coding	Epha8
ENSMUSG00000087520	7	129627708	129627934	-	pseudogene	Gm14389
ENSMUSG00000054435	6	48634547	48642061	+	protein_coding	Gimap4
ENSMUSG00000045799	14	9632511	9633028	-	pseudogene	Gm9800
ENSMUSG00000031398	X	71574404	71590028	+	protein_coding	Plxna3
ENSMUSG00000032128	9	37223253	37240760	-	protein_coding	Robo3
ENSMUSG00000073130	X	69174154	69186209	+	protein_coding	Gm1141
ENSMUSG00000024640	19	15979167	16021827	-	protein_coding	Psat1
ENSMUSG00000021276	12	112110831	112127325	-	protein_coding	Cinp
ENSMUSG00000050035	10	84559763	84565240	-	protein_coding	Fhl4
ENSMUSG00000079707	17	15164114	15178523	-	protein_coding	Tcte3
ENSMUSG00000044719	18	36844576	36855579	-	protein_coding	E230025N22Rik
ENSMUSG00000083979	4	59381174	59381738	-	pseudogene	Gm12527
ENSMUSG00000038967	11	94887571	94902668	-	protein_coding	Pdk2
ENSMUSG00000056888	10	111422503	111439687	-	protein_coding	Glipr1
ENSMUSG00000024301	17	27054035	27069524	+	protein_coding	Kifc5b
ENSMUSG00000026874	2	34838850	34916958	-	protein_coding	Hc
ENSMUSG00000042766	3	89038098	89050231	-	protein_coding	Trim46
ENSMUSG00000094870	NA	NA	NA	NA	NA	NA
ENSMUSG00000029198	5	36807646	36816729	+	protein_coding	Grpel1
ENSMUSG00000026737	2	18763881	18919753	-	protein_coding	Pip4k2a
ENSMUSG00000095307	NA	NA	NA	NA	NA	NA
ENSMUSG00000032174	9	20836481	20843480	+	protein_coding	Icam5
ENSMUSG00000038298	3	96633206	96674849	+	protein_coding	Pdzk1
ENSMUSG00000081991	6	34323690	34330789	-	pseudogene	Gm13859
ENSMUSG00000031639	8	46481018	46495962	-	protein_coding	Tlr3
ENSMUSG00000005481	8	86239075	86250791	+	protein_coding	Ddx39
ENSMUSG00000020561	12	34114488	34124245	+	protein_coding	Twistnb
ENSMUSG00000018830	16	14194619	14291501	-	protein_coding	Myh11
ENSMUSG00000043789	19	10708722	10739700	+	protein_coding	Vwce
ENSMUSG00000037325	3	36472063	36512399	-	protein_coding	Bbs7
ENSMUSG00000081528	4	123112859	123113177	+	pseudogene	Gm12924
ENSMUSG00000062981	10	94943439	94964561	-	protein_coding	Mrpl42
ENSMUSG00000049751	12	70283717	70285070	-	protein_coding	Rpl36al
ENSMUSG00000082873	X	72255928	72256944	+	pseudogene	Gm15367
ENSMUSG00000058818	7	3663010	3671993	-	protein_coding	Lilrb3
ENSMUSG00000071068	17	48438863	48451859	+	protein_coding	Treml2
ENSMUSG00000051615	14	120877665	120906416	+	protein_coding	Rap2a
ENSMUSG00000050821	16	20693354	20703121	+	protein_coding	Fam131a
ENSMUSG00000024054	17	71693828	71824683	-	protein_coding	Smchd1
ENSMUSG00000033272	18	36839232	36843512	+	protein_coding	Slc35a4
ENSMUSG00000031662	8	91150726	91160027	-	protein_coding	Snx20
ENSMUSG00000064147	17	29272000	29285925	+	protein_coding	Rab44
ENSMUSG00000071657	19	8911956	8923173	+	protein_coding	Bscl2
ENSMUSG00000035208	11	82815659	82834312	-	protein_coding	Slfn8
ENSMUSG00000036718	5	140182646	140212290	-	protein_coding	Micall2
ENSMUSG00000039450	11	120586712	120588595	-	protein_coding	Dcxr
ENSMUSG00000031778	8	97295908	97306323	+	protein_coding	Cx3cl1
ENSMUSG00000020865	11	94204611	94254311	-	protein_coding	Abcc3
ENSMUSG00000036186	2	26483976	26492017	+	protein_coding	Fam69b
ENSMUSG00000036309	11	52045496	52060360	+	protein_coding	Skp1a
ENSMUSG00000021493	13	55597155	55615037	-	protein_coding	Pdlim7
ENSMUSG00000099418	NA	NA	NA	NA	NA	NA
ENSMUSG00000083728	6	33325110	33327446	-	pseudogene	Gm13854
ENSMUSG00000050957	19	29395836	29399846	-	protein_coding	Insl6
ENSMUSG00000039183	17	25019555	25023295	-	protein_coding	Nubp2
ENSMUSG00000030510	7	73888389	73968578	+	protein_coding	Lass3
ENSMUSG00000024589	18	65047409	65377480	+	protein_coding	Nedd4l
ENSMUSG00000034926	4	106233642	106261718	+	protein_coding	Dhcr24
ENSMUSG00000030987	7	109416337	109585362	+	protein_coding	Stim1
ENSMUSG00000018677	11	102264298	102269260	-	protein_coding	Slc25a39
ENSMUSG00000026249	1	79790771	79855271	-	protein_coding	Serpine2
ENSMUSG00000026311	1	93437141	93456167	+	protein_coding	Asb1
ENSMUSG00000025482	7	148033703	148036917	+	protein_coding	Odf3
ENSMUSG00000019806	10	13366859	13588786	-	protein_coding	Aig1
ENSMUSG00000055200	7	28258786	28262378	+	protein_coding	Sertad3
ENSMUSG00000006411	1	173300229	173318729	+	protein_coding	Pvrl4
ENSMUSG00000058952	3	129539654	129578246	+	protein_coding	Cfi
ENSMUSG00000027556	3	14766216	14778459	-	protein_coding	Car1
ENSMUSG00000010136	3	105799874	105817523	-	protein_coding	1700027A23Rik
ENSMUSG00000042901	NT_165754	270407	297849	+	protein_coding	Aida
ENSMUSG00000109448	NA	NA	NA	NA	NA	NA
ENSMUSG00000028362	4	63492341	63522381	-	protein_coding	Tnfsf8
ENSMUSG00000038055	16	10530299	10543147	-	protein_coding	Dexi
ENSMUSG00000046756	11	115465238	115469350	+	protein_coding	Mrps7
ENSMUSG00000025915	1	9788210	9892637	+	protein_coding	Sgk3
ENSMUSG00000051747	2	76542036	76820604	-	protein_coding	Ttn
ENSMUSG00000027570	2	180332494	180356894	+	protein_coding	Col9a3
ENSMUSG00000092278	17	35582800	35585871	+	pseudogene	Gm8752
ENSMUSG00000094388	NA	NA	NA	NA	NA	NA
ENSMUSG00000096592	NA	NA	NA	NA	NA	NA
ENSMUSG00000008167	8	87583953	87591023	+	protein_coding	Fbxw9
ENSMUSG00000037012	10	61731602	61842656	-	protein_coding	Hk1
ENSMUSG00000025137	11	120471400	120479250	-	protein_coding	Pcyt2
ENSMUSG00000056749	13	53062577	53076442	-	protein_coding	Nfil3
ENSMUSG00000050666	14	33669941	33752673	+	protein_coding	E130203B14Rik
ENSMUSG00000069833	19	9063749	9151409	+	protein_coding	Ahnak
ENSMUSG00000008855	11	102055745	102091480	-	protein_coding	Hdac5
ENSMUSG00000047295	15	91668695	91691869	+	protein_coding	Smgc
ENSMUSG00000054312	3	95666556	95675442	-	protein_coding	Mrps21
ENSMUSG00000045007	11	101017220	101023101	+	protein_coding	Tubg2
ENSMUSG00000036305	15	102465409	102465767	+	processed_transcript	Gm15430
ENSMUSG00000029135	5	32438844	32460204	+	protein_coding	Fosl2
ENSMUSG00000045251	7	134562480	134565582	-	protein_coding	Zfp688
ENSMUSG00000020684	11	83222638	83234541	+	protein_coding	Rasl10b
ENSMUSG00000057561	18	46757357	46769879	+	protein_coding	Eif1a
ENSMUSG00000042524	15	79554499	79572966	-	protein_coding	Sun2
ENSMUSG00000024769	19	6306455	6325652	+	protein_coding	Cdc42bpg
ENSMUSG00000064299	9	114185800	114226146	-	protein_coding	4921528I07Rik
ENSMUSG00000031166	X	7700426	7710018	-	protein_coding	Wdr13
ENSMUSG00000008393	16	8658679	8672246	-	protein_coding	Carhsp1
ENSMUSG00000037493	9	54392600	54408025	-	protein_coding	Cib2
ENSMUSG00000020847	11	75644500	75751931	-	protein_coding	Rph3al
ENSMUSG00000031825	8	122516337	122576693	+	protein_coding	Crispld2
ENSMUSG00000082686	4	111463225	111464275	-	pseudogene	Gm12961
ENSMUSG00000037400	3	35653055	35755196	+	protein_coding	Atp11b
ENSMUSG00000069911	11	34214821	34322640	+	protein_coding	Fam196b
ENSMUSG00000038421	1	172847706	172857714	-	protein_coding	Fcrla
ENSMUSG00000020949	12	66163422	66174931	-	protein_coding	Fkbp3
ENSMUSG00000047298	19	27397077	27411669	+	protein_coding	Kcnv2
ENSMUSG00000020205	10	110943341	110945705	+	protein_coding	Phlda1
ENSMUSG00000031231	X	103211038	103217789	+	protein_coding	Cox7b
ENSMUSG00000053617	19	47334663	47538901	-	protein_coding	Sh3pxd2a
ENSMUSG00000037995	1	174411918	174429009	+	protein_coding	Igsf9
ENSMUSG00000031349	X	70163895	70203853	+	protein_coding	Nsdhl
ENSMUSG00000032243	9	62525632	62631789	+	protein_coding	Itga11
ENSMUSG00000028467	4	43579799	43591745	-	protein_coding	Gba2
ENSMUSG00000020088	10	61143057	61156043	+	protein_coding	Sar1a
ENSMUSG00000032135	9	43942551	43950810	+	protein_coding	Mcam
ENSMUSG00000057337	10	59644279	59682008	-	protein_coding	Chst3
ENSMUSG00000038146	17	32257764	32303825	-	protein_coding	Notch3
ENSMUSG00000020219	10	80362194	80363714	-	protein_coding	Timm13
ENSMUSG00000099423	NA	NA	NA	NA	NA	NA
ENSMUSG00000098000	NA	NA	NA	NA	NA	NA
ENSMUSG00000035735	19	10319754	10379367	-	protein_coding	Dagla
ENSMUSG00000022466	15	97505535	97536253	-	protein_coding	Rpap3
ENSMUSG00000058740	2	25719314	25773793	+	protein_coding	Kcnt1
ENSMUSG00000089999	3	104555644	104556083	-	pseudogene	Gm6485
ENSMUSG00000068747	3	108087008	108164429	+	protein_coding	Sort1
ENSMUSG00000051378	11	102766842	102786438	-	protein_coding	Kif18b
ENSMUSG00000001555	11	100277010	100286138	+	protein_coding	Fkbp10
ENSMUSG00000025978	1	55227002	55283626	-	protein_coding	Rftn2
ENSMUSG00000005583	13	83643032	83806684	+	protein_coding	Mef2c
ENSMUSG00000063594	7	17477134	17480784	+	protein_coding	Gng8
ENSMUSG00000024966	19	7095185	7114516	-	protein_coding	Stip1
ENSMUSG00000096144	NA	NA	NA	NA	NA	NA
ENSMUSG00000033751	8	87355420	87359381	+	protein_coding	Gadd45gip1
ENSMUSG00000072789	6	122645989	122646939	+	pseudogene	Gm10420
ENSMUSG00000074886	13	55546694	55562286	+	protein_coding	Grk6
ENSMUSG00000024099	17	66428134	66450899	-	protein_coding	Ndufv2
ENSMUSG00000056515	17	66001065	66122092	-	protein_coding	Rab31
ENSMUSG00000090066	3	137728015	137744376	+	protein_coding	1110002E22Rik
ENSMUSG00000027566	2	179771077	179777138	-	protein_coding	Psma7
ENSMUSG00000021670	13	97418921	97440891	-	protein_coding	Hmgcr
ENSMUSG00000025730	17	26019058	26056672	-	protein_coding	Rab40c
ENSMUSG00000007122	1	174140024	174150026	-	protein_coding	Casq1
ENSMUSG00000026509	1	184397390	184447655	-	protein_coding	Capn2
ENSMUSG00000017412	2	52283844	52532350	-	protein_coding	Cacnb4
ENSMUSG00000052656	6	71443887	71475014	+	protein_coding	Rnf103
ENSMUSG00000036353	3	59020192	59066753	-	protein_coding	P2ry12
ENSMUSG00000045005	1	64777133	64784324	-	protein_coding	Fzd5
ENSMUSG00000037426	5	33206349	33336882	+	protein_coding	Depdc5
ENSMUSG00000028496	4	87415828	87679268	-	protein_coding	Mllt3
ENSMUSG00000024485	18	36687804	36715909	+	protein_coding	Slc4a9
ENSMUSG00000024758	19	7500390	7557779	-	protein_coding	Rtn3
ENSMUSG00000044814	7	109625286	109626416	-	protein_coding	Olfr543
ENSMUSG00000020642	12	26991661	27100121	-	protein_coding	Rnf144a
ENSMUSG00000042662	2	152766730	152777434	-	protein_coding	Dusp15
ENSMUSG00000003363	7	28317018	28338237	-	protein_coding	Pld3
ENSMUSG00000025785	9	123022332	123045247	+	protein_coding	Exosc7
ENSMUSG00000041220	3	129235303	129341413	+	protein_coding	Elovl6
ENSMUSG00000049091	7	134416074	134417433	-	protein_coding	Sephs2
ENSMUSG00000062309	9	57351908	57353254	+	protein_coding	Rpp25
ENSMUSG00000096351	NA	NA	NA	NA	NA	NA
ENSMUSG00000004113	2	24459406	24618672	-	protein_coding	Cacna1b
ENSMUSG00000085601	7	19686899	19703717	-	protein_coding	Gm4969
ENSMUSG00000048096	1	137221383	137264642	+	protein_coding	Lmod1
ENSMUSG00000063229	7	54096844	54110997	+	protein_coding	Ldha
ENSMUSG00000078713	4	45118079	45120986	-	protein_coding	Tomm5
ENSMUSG00000054589	18	62339779	62344059	+	protein_coding	Gm9949
ENSMUSG00000042417	13	113778009	113780986	+	protein_coding	Ccno
ENSMUSG00000070330	11	117722065	117726857	+	protein_coding	Cldn27
ENSMUSG00000030468	7	50663573	50673728	+	protein_coding	Siglecg
ENSMUSG00000027133	2	112102082	112103426	+	protein_coding	Nop10
ENSMUSG00000022792	16	16303057	16309733	+	protein_coding	Yars2
ENSMUSG00000039159	6	30161288	30254539	-	protein_coding	Ube2h
ENSMUSG00000027404	2	129997149	130005139	-	protein_coding	Snrpb
ENSMUSG00000102418	NA	NA	NA	NA	NA	NA
ENSMUSG00000068874	3	94736977	94748680	+	protein_coding	Selenbp1
ENSMUSG00000042810	6	48345584	48369854	+	protein_coding	Krba1
ENSMUSG00000083585	16	4539307	4539695	+	pseudogene	Gm15885
ENSMUSG00000039270	4	70088098	70196029	-	protein_coding	Megf9
ENSMUSG00000059534	11	4601975	4604345	-	protein_coding	Uqcr10
ENSMUSG00000084007	X	91668016	91668634	-	pseudogene	Gm9003
ENSMUSG00000038679	15	50486306	50721587	-	protein_coding	Trps1
ENSMUSG00000023942	17	45722148	45736555	-	protein_coding	Slc29a1
ENSMUSG00000059248	11	117060974	117223639	+	protein_coding	Sept9
ENSMUSG00000025213	19	45149730	45153779	+	protein_coding	Kazald1
ENSMUSG00000052298	11	54530957	54601177	-	protein_coding	Cdc42se2
ENSMUSG00000040466	7	28232996	28251163	+	protein_coding	Blvrb
ENSMUSG00000024968	19	7341814	7349715	+	protein_coding	Rcor2
ENSMUSG00000001467	5	4081144	4104746	-	protein_coding	Cyp51
ENSMUSG00000071322	17	7528994	7550323	+	protein_coding	Gm10326
ENSMUSG00000033294	5	111077436	111082436	-	protein_coding	Noc4l
ENSMUSG00000032101	9	35349432	35366055	-	protein_coding	Ddx25
ENSMUSG00000000056	11	121098566	121117170	+	protein_coding	Narf
ENSMUSG00000083645	2	122252929	122253205	+	pseudogene	Gm14086
ENSMUSG00000055128	14	47451808	47473868	+	protein_coding	Cgrrf1
ENSMUSG00000051314	7	31603375	31608794	-	protein_coding	Ffar2
ENSMUSG00000030707	7	133843286	133851301	-	protein_coding	Coro1a
ENSMUSG00000030282	6	142705205	142724234	+	protein_coding	Cmas
ENSMUSG00000071226	6	120616386	120721208	+	protein_coding	Cecr2
ENSMUSG00000036572	X	34631672	34650335	-	protein_coding	Upf3b
ENSMUSG00000022074	14	70167278	70184210	+	protein_coding	Tnfrsf10b
ENSMUSG00000081788	7	70687421	70688792	+	pseudogene	Gm5898
ENSMUSG00000075528	11	101268005	101286647	-	protein_coding	Aarsd1
ENSMUSG00000054400	8	106774802	106788836	+	protein_coding	Cklf
ENSMUSG00000071369	10	19654277	19862559	+	protein_coding	Map3k5
ENSMUSG00000027671	3	32607467	32625890	+	protein_coding	Actl6a
ENSMUSG00000071691	19	4648316	4698315	-	protein_coding	Gm960
ENSMUSG00000027203	2	125072925	125084344	+	protein_coding	Dut
ENSMUSG00000075284	2	73267666	73367791	-	protein_coding	Wipf1
ENSMUSG00000000631	11	77576747	77679482	+	protein_coding	Myo18a
ENSMUSG00000025133	7	104629465	104689907	+	protein_coding	Ints4
ENSMUSG00000079043	2	130439575	130455763	-	protein_coding	Fastkd5
ENSMUSG00000042514	18	21708877	21813219	-	protein_coding	Klhl14
ENSMUSG00000027602	2	155102032	155103809	+	protein_coding	Map1lc3a
ENSMUSG00000068551	6	48377695	48395824	-	protein_coding	Zfp467
ENSMUSG00000023939	17	45823270	45835444	+	protein_coding	Mrpl14
ENSMUSG00000038683	13	41096391	41108388	+	protein_coding	Pak1ip1
ENSMUSG00000032892	11	68785985	68788687	-	protein_coding	Rangrf
ENSMUSG00000024529	18	52675722	52689521	-	protein_coding	Lox
ENSMUSG00000078570	4	124526728	124527974	-	protein_coding	1110065P20Rik
ENSMUSG00000030007	6	85401498	85418471	+	protein_coding	Cct7
ENSMUSG00000035164	9	51920089	51976216	-	protein_coding	Zc3h12c
ENSMUSG00000022428	15	79489656	79498090	+	protein_coding	Cby1
ENSMUSG00000101874	NA	NA	NA	NA	NA	NA
ENSMUSG00000045659	7	123267007	123451890	-	protein_coding	Plekha7
ENSMUSG00000084362	11	20999536	20999830	+	pseudogene	2610024D14Rik
ENSMUSG00000027495	2	172171064	172181249	+	protein_coding	2010011I20Rik
ENSMUSG00000022346	15	61816945	61821929	+	protein_coding	Myc
ENSMUSG00000074673	2	152788220	152834218	+	protein_coding	Ttll9
ENSMUSG00000026974	2	24805311	24817595	+	protein_coding	Zmynd19
ENSMUSG00000026721	1	162149304	162723069	-	protein_coding	Rabgap1l
ENSMUSG00000037466	12	114394631	114413736	+	protein_coding	4930427A07Rik
ENSMUSG00000006241	9	21731914	21740316	+	protein_coding	Ccdc159
ENSMUSG00000047368	19	21727798	21760127	+	protein_coding	Fam108b
ENSMUSG00000020053	10	87321009	87399792	+	protein_coding	Igf1
ENSMUSG00000079620	16	32735971	32782477	+	protein_coding	Muc4
ENSMUSG00000046480	9	44946519	44962235	+	protein_coding	Scn4b
ENSMUSG00000020163	10	79865741	79869575	-	protein_coding	Uqcr11
ENSMUSG00000031730	8	112115242	112132573	-	protein_coding	Dhodh
ENSMUSG00000037762	10	69707847	69748716	+	protein_coding	Slc16a9
ENSMUSG00000024937	19	5707375	5726317	-	protein_coding	Ehbp1l1
ENSMUSG00000102543	NA	NA	NA	NA	NA	NA
ENSMUSG00000021725	13	117643630	117814323	-	protein_coding	Parp8
ENSMUSG00000006315	7	31512719	31514553	-	protein_coding	Tmem147
ENSMUSG00000053819	3	126299219	126547972	+	protein_coding	Camk2d
ENSMUSG00000001552	11	100230271	100259077	-	protein_coding	Jup
ENSMUSG00000082463	14	45831197	45832107	+	pseudogene	Gm15765
ENSMUSG00000044763	16	56032721	56037932	-	protein_coding	Rg9mtd1
ENSMUSG00000030084	6	89266309	89312607	-	protein_coding	Plxna1
ENSMUSG00000023330	2	125977876	125991015	+	protein_coding	Dtwd1
ENSMUSG00000091831	17	71807663	71809262	-	pseudogene	Gm4707
ENSMUSG00000032359	9	89948989	89970927	+	protein_coding	Ctsh
ENSMUSG00000020077	10	61956580	61990199	-	protein_coding	Srgn
ENSMUSG00000022814	16	33954867	33967124	-	protein_coding	Umps
ENSMUSG00000082277	16	14037828	14038954	-	pseudogene	Gm15807
ENSMUSG00000032744	4	122910798	122927118	+	protein_coding	Heyl
ENSMUSG00000016179	1	195172539	195196491	-	protein_coding	Camk1g
ENSMUSG00000001942	9	37421431	37455903	+	protein_coding	Siae
ENSMUSG00000022476	15	81745459	81756643	-	protein_coding	Polr3h
ENSMUSG00000045053	17	83985296	84031235	-	protein_coding	Kcng3
ENSMUSG00000028568	4	108486899	108506219	-	protein_coding	Btf3l4
ENSMUSG00000093867	NA	NA	NA	NA	NA	NA
ENSMUSG00000022272	15	25552279	25743428	+	protein_coding	Myo10
ENSMUSG00000030281	6	113421420	113433134	+	protein_coding	Il17rc
ENSMUSG00000046841	10	83989049	83996781	-	protein_coding	Ckap4
ENSMUSG00000014907	8	69384115	69414463	+	protein_coding	Naf1
ENSMUSG00000028443	4	41412183	41427959	+	protein_coding	Nudt2
ENSMUSG00000036168	10	93003376	93047072	+	protein_coding	Ccdc38
ENSMUSG00000024659	19	20447917	20465434	-	protein_coding	Anxa1
ENSMUSG00000107082	NA	NA	NA	NA	NA	NA
ENSMUSG00000031402	X	72355071	72376355	-	protein_coding	Mpp1
ENSMUSG00000057278	6	86321533	86328896	+	protein_coding	Snrpg
ENSMUSG00000031016	7	117265863	117285626	+	protein_coding	Wee1
ENSMUSG00000094526	NA	NA	NA	NA	NA	NA
ENSMUSG00000073982	7	109387636	109398637	-	protein_coding	Rhog
ENSMUSG00000040488	7	28090154	28122711	-	protein_coding	Ltbp4
ENSMUSG00000015656	9	40609066	40613283	+	protein_coding	Hspa8
ENSMUSG00000025931	1	20880690	20929632	+	protein_coding	Paqr8
ENSMUSG00000026357	1	146599812	146622565	-	protein_coding	Rgs18
ENSMUSG00000019979	10	90452055	90545515	-	protein_coding	Apaf1
ENSMUSG00000001707	13	38737566	38750897	-	protein_coding	Eef1e1
ENSMUSG00000026585	1	165709713	165847240	+	protein_coding	Kifap3
ENSMUSG00000100937	NA	NA	NA	NA	NA	NA
ENSMUSG00000010609	1	182157134	182193569	-	protein_coding	Psen2
ENSMUSG00000021286	12	113052380	113066596	+	protein_coding	Zfyve21
ENSMUSG00000096519	NA	NA	NA	NA	NA	NA
ENSMUSG00000094840	NA	NA	NA	NA	NA	NA
ENSMUSG00000029311	5	104418780	104450938	-	protein_coding	Hsd17b11
ENSMUSG00000002769	17	46862612	46866117	-	protein_coding	Gnmt
ENSMUSG00000044162	6	65540391	65584034	+	protein_coding	Tnip3
ENSMUSG00000022139	14	120674890	120830919	+	protein_coding	Mbnl2
ENSMUSG00000036599	5	140981503	141001678	+	protein_coding	Chst12
ENSMUSG00000083186	4	3647573	3648173	-	pseudogene	Gm11805
ENSMUSG00000094993	NA	NA	NA	NA	NA	NA
ENSMUSG00000044641	2	167906503	167926703	+	protein_coding	Pard6b
ENSMUSG00000025357	10	128157196	128181112	-	protein_coding	Dgka
ENSMUSG00000043866	7	112887906	112892875	-	protein_coding	Taf10
ENSMUSG00000032366	9	66870396	66897213	-	protein_coding	Tpm1
ENSMUSG00000043925	7	109632620	109636821	-	protein_coding	Olfr544
